id,source_track,category,author,year,title,journal_series,boundary,priority,confidence,access_link,xlsx_ref,id_type,identifier,cited_by,status,notes
A-02c-001,1,General · ANE · Other (기타),"Charpin, Dominique / Joannès, Francis (eds.)",1991,"Marchands, diplomates et empereurs: Études sur la civilisation mésopotamienne offertes à Paul Garelli","(book; Paris: Éditions Recherche sur les Civilisations, 1991)",off-list,low,A,https://catalogue.bnf.fr/ark:/12148/cb35466169p,General · ANE · Other (기타)!R252,book,"Éditions Recherche sur les Civilisations, 1991 (439p)",Smith,QUEUED,"★저자정정: xlsx author필드는 'Charpin'만 표기되었으나 bib_smith 원본은 'Charpin and Joannès'(공편, Paul Garelli 기념논문집)로 확인 — Charpin·Joannès 공편으로 정정. bib_smith 원본 line133 제목 그대로 대조. BnF 카탈로그로 재확인."
A-02c-002,1,General · ANE · Other (기타),"Charpin, Dominique",1993,Données nouvelles sur la poliorcétique à l'époque paléo-babylonienne,"MARI 7 (1993), 193–203",off-list,low,A,https://www.worldcat.org/search?q=Charpin+poliorcetique+paleo-babylonienne+1993,General · ANE · Other (기타)!R253,journal-ref,MARI 7 (1993): 193-203,Sasson,QUEUED,bib_sasson 원본 line248 제목 그대로 대조 확인(OCR '4 lépoque'→'à l'époque' 정정). 웹검색으로 MARI 7(1993):193-203 확인.
A-02c-003,1,General · ANE · Other (기타),"Charpin, Dominique / Durand, Jean-Marie (eds.)",1994,Recueil d'études à la mémoire de Maurice Birot (Florilegium Marianum II),"(book; Mémoires de NABU 3; Paris: SEPOA, 1994)",off-list,low,A,https://sepoa.fr/produit/1994-memoires-de-nabu-3-pdf/,General · ANE · Other (기타)!R254,book,"Mémoires de NABU 3, SEPOA 1994",Sasson,QUEUED,"★저자정정: xlsx author='Charpin'만 표기되었으나 실제는 Charpin·Durand 공편(Florilegium Marianum II, Maurice Birot 기념논문집). bib_sasson 원본 line256 제목 그대로 대조. sepoa.fr 제품페이지로 재확인."
A-02c-004,1,General · ANE · Other (기타),"Charpin, Dominique",1997,Manger un serment,"Pp. 85–96 in S. Lafont (ed.), Jurer et maudire: Pratiques politiques et usages juridiques du serment dans le Proche-Orient ancien (Méditerranées 10–11; Paris: L'Harmattan, 1997)",off-list,low,A,https://www.worldcat.org/search?q=Charpin+Manger+un+serment+Lafont+Jurer+et+maudire+1997,General · ANE · Other (기타)!R255,book-chapter,"Méditerranées 10-11, L'Harmattan 1997, pp.85-96",Sasson,QUEUED,"bib_sasson 원본 line249 제목 그대로 대조 확인(솔로 저자 Charpin 맞음, S. Lafont는 논문집 편자)."
A-02c-005,1,General · ANE · Other (기타),"Charpin, Dominique / Durand, Jean-Marie (eds.)",2002,Recueil d'études à la mémoire d'André Parrot (Florilegium Marianum VI),"(book; Mémoires de NABU 7; Paris: SEPOA, 2002)",off-list,low,A,https://sepoa.fr/produit/2002-memoires-de-nabu-7-pdf/,General · ANE · Other (기타)!R256,book,"Mémoires de NABU 7, SEPOA 2002 (570p)",Sasson,QUEUED,"★저자정정: xlsx author='Charpin'만 표기되었으나 실제는 Charpin·Durand 공편(Florilegium Marianum VI, André Parrot 기념논문집). bib_sasson 원본 line257 제목 그대로 대조. sepoa.fr/Persée로 재확인."
A-02c-006,1,General · ANE · Other (기타),"Charpin, Dominique",2003,La « toponymie en miroir » dans le Proche-Orient amorrite,"Revue d'Assyriologie et d'Archéologie Orientale 97 (2003), 3–34",off-list,low,A,https://shs.cairn.info/revue-d-assyriologie-2003-1-page-3?lang=fr,General · ANE · Other (기타)!R257,journal-ref,RA 97 (2003): 3-34,Sasson,QUEUED,"bib_sasson 원본 line250 제목 그대로 대조 확인. cairn.info로 저널·권·쪽수(RA 97, 3-34) 확인."
A-02c-007,1,General · ANE · Other (기타),"Charpin, Dominique",2004,Chroniques bibliographiques 3. Données nouvelles sur la région du Petit Zab au XVIIIe siècle av. J.-C.,"Revue d'Assyriologie et d'Archéologie Orientale 98 (2004), 151–178",off-list,low,A,https://www.cairn.info/revue-d-assyriologie-2004-1-page-151.htm,General · ANE · Other (기타)!R258,journal-ref,RA 98 (2004): 151-178,Sasson,QUEUED,"bib_sasson 원본 line251 제목 그대로 대조 확인. cairn.info/Dialnet로 저널·권·쪽수(RA 98, 151-178) 확인."
A-02c-008,1,General · ANE · Other (기타),"Charpin, Dominique",2009,Shamshi-Adad's Lebanon Campaign: Royal Inscriptions and Archival Texts,(정확한 수록처 미확정 — 저자 자신의 서지 목록에서만 확인됨),off-list,low,B,https://www.worldcat.org/search?q=Charpin+Shamshi-Adad+Lebanon+Campaign+2009,General · ANE · Other (기타)!R259,journal-ref,,Sasson,QUEUED,"bib_sasson 원본 line252 제목·저자·연도 그대로 대조 확인되나, 정확한 수록 저널/논문집을 외부 DB로 교차확인하지 못함. 수령시 원문 서지사항 확인 필요."
A-02c-009,1,General · ANE · Other (기타),"Charpin, Dominique",2017,La vie méconnue des temples mésopotamiens,"(book; Docet Omnia series; Paris: Les Belles Lettres, 2017)",off-list,low,A,https://www.lesbelleslettres.com/livre/9782251446714/la-vie-meconnue-des-temples-mesopotamiens,General · ANE · Other (기타)!R260,ISBN,"978-2-251-44671-4 (Les Belles Lettres, 2017)",Sasson,QUEUED,bib_sasson 원본 line253 제목 그대로 대조 확인. 출판사(Les Belles Lettres) 1차 페이지로 재확인.
A-02c-010,1,General · ANE · Other (기타),"Charpin, Dominique",2020,Un clergé en exil: le transfert des dieux de Nippur à Dur-Abi-ešuh,"Pp. 149–187 in Des polythéismes aux monothéismes: Mélanges d'Assyriologie offerts à Marcel Sigrist (Études Bibliques n.s. 82; Paris, 2020)",off-list,low,A,https://www.worldcat.org/search?q=Charpin+clerge+en+exil+Nippur+Dur-Abi-esuh+2020,General · ANE · Other (기타)!R261,book-chapter,"Études Bibliques n.s. 82 (2020), pp.149-187",Sasson,QUEUED,"bib_sasson 원본 line254 제목 그대로 대조 확인. 웹검색으로 수록처(Mélanges Marcel Sigrist, 2020, 149-187) 확인."
