id,source_track,category,author,year,title,journal_series,boundary,priority,confidence,access_link,xlsx_ref,id_type,identifier,cited_by,status,notes
A-04a-001,1,General · ANE · Other (기타),"Fassberg, Steven E.",1994,Studies in Biblical Syntax,"(Jerusalem: Magnes Press; Cambridge, MA: Harvard University Press, 1994)",off-list,low,B,https://www.worldcat.org/search?q=Fassberg+Studies+in+Biblical+Syntax+1994,General · ANE · Other (기타)!R452,book,OCLC search,Smith,QUEUED,bib_smith 원본 대조 직접 일치(저자·제목·연도 그대로). 출판사 정보는 외부 검색 보조 확인(2차).
A-04a-002,1,General · ANE · Other (기타),"Fassberg, Steven E.",1999,The Lengthened Imperative qotlah in Biblical Hebrew,(article; venue not independently confirmed),off-list,low,C,https://www.worldcat.org/search?q=Fassberg+Lengthened+Imperative+qotlah,General · ANE · Other (기타)!R453,-,-,Smith,QUEUED,bib_smith 원본 대조 직접 일치(저자·제목·연도). 게재지 미확인 — 수령 시 원문 확인 필요.
A-04a-003,1,General · ANE · Other (기타),"Fassberg, Steven E.; Hurvitz, Avi (eds.)",2006,Biblical Hebrew in Its Northwest Semitic Setting: Typological and Historical Perspectives,"(Jerusalem: Magnes Press; Winona Lake, IN: Eisenbrauns, 2006)",off-list,low,B,https://www.worldcat.org/search?q=Fassberg+Hurvitz+Biblical+Hebrew+Northwest+Semitic+Setting+2006,General · ANE · Other (기타)!R454,book,OCLC search,Smith,QUEUED,⚠저자정정: xlsx=Fassberg 단독 → bib_smith 원본은 'Fassberg and Hurvitz 2006'(공편). 편저자 Avi Hurvitz 추가.
A-04a-004,1,General · ANE · Other (기타),"Feder, Yitzhaq",2010,"The Mechanics of Retribution in Hittite, Mesopotamian, and Ancient Israelite Sources",Journal of Ancient Near Eastern Religions 10/2 (2010): 119–157,통독,low,A,https://brill.com/view/journals/jane/10/2/article-p119_2.xml,General · ANE · Other (기타)!R455,URL,brill.com/view/journals/jane/10/2/article-p119_2.xml,Sasson,QUEUED,bib_sasson 원본 대조 일치(제목 그대로). Brill JANER 페이지로 저자(Yitzhaq Feder)·권호·쪽수 확인. JANER는 바운더리 표적 저널 → 통독.
A-04a-005,1,General · ANE · Other (기타),"Fögen, Thorsten (ed.)",2009,Tears in the Graeco-Roman World,"(Berlin: Walter de Gruyter, 2009)",off-list,low,A,https://www.degruyterbrill.com/document/doi/10.1515/9783110214024/html,General · ANE · Other (기타)!R456,DOI,10.1515/9783110214024,Sasson,QUEUED,⚠저자정정: xlsx/MISSING_Sasson 'Fégen'는 OCR 오류 → bib_sasson 원본은 'Fögen 2009'(정확 표기). De Gruyter DOI로 편자·제목·연도 확인.
A-04a-006,1,General · ANE · Other (기타),"Feigin, Samuel",1931,Some Cases of Adoption in Israel,Journal of Biblical Literature 50/3 (1931): 186–200,통독,low,A,https://www.jstor.org/action/doBasicSearch?Query=Feigin+Some+Cases+of+Adoption+in+Israel,General · ANE · Other (기타)!R457,URL,JSTOR search,Sasson,QUEUED,bib_sasson·MISSING_Sasson 원본 대조 일치. 외부 검색으로 JBL 50(1931):186-200 확인. JBL은 통독 저널.
A-04a-007,1,General · ANE · Other (기타),"Feinbrun-Dothan, Naomi",1978,"Flora Palaestina, Part Three: Ericaceae to Compositae","(Jerusalem: Israel Academy of Sciences and Humanities, 1978)",off-list,low,B,https://www.worldcat.org/search?q=Feinbrun-Dothan+Flora+Palaestina+1978,General · ANE · Other (기타)!R458,book,OCLC search,Groß,QUEUED,"⚠권호정정: MISSING_Groß 'Bd. J'(OCR 오독)는 권3(Part 3, Ericaceae-Compositae, 1978)을 가리킴 — 외부 서지로 확인(권4 Alismataceae-Orchidaceae는 1986년 별도 출간, 연도 불일치로 배제)."
A-04a-008,1,General · ANE · Other (기타),"Feldman, Louis H.",1998,Studies in Josephus' Rewritten Bible,"(JSJSup 58; Leiden: Brill, 1998)",통독,low,A,https://www.worldcat.org/search?q=Feldman+Studies+in+Josephus+Rewritten+Bible+1998,General · ANE · Other (기타)!R459,book,OCLC search,"Sasson, Groß",QUEUED,bib_sasson·MISSING_Groß 원본 대조 일치(저자 Louis H. Feldman 완전 표기 확인). JSJSup 시리즈 → 통독.
A-04a-009,1,General · ANE · Other (기타),"Feldman, Louis H.; Kugel, James L.; Schiffman, Lawrence H. (eds.)",2013,Outside the Bible: Ancient Jewish Writings Related to Scripture,"(Philadelphia: University of Nebraska Press / Jewish Publication Society, 2013)",off-list,low,B,https://www.worldcat.org/search?q=Outside+the+Bible+Feldman+Kugel+Schiffman+2013,General · ANE · Other (기타)!R460,book,OCLC search,Smith,QUEUED,"⚠저자정정: xlsx 'Feldman' 단독 → bib_smith 원본은 'Feldman, Kugel, and Schiffman 2013'(3인 공편) 확인."
A-04a-010,1,General · ANE · Other (기타),"Fensham, F. Charles",1964,Did a Treaty between the Israelites and the Kenites Exist?,Bulletin of the American Schools of Oriental Research 175 (1964): 51–54,통독,low,A,https://www.jstor.org/action/doBasicSearch?Query=Fensham+Treaty+Israelites+Kenites+1964,General · ANE · Other (기타)!R461,URL,JSTOR search,Smith,QUEUED,bib_smith 원본 대조 일치. 외부 검색으로 BASOR 175(1964):51-54 확인. BASOR는 통독(표적) 화이트리스트 저널.
