id,source_track,category,author,year,title,journal_series,boundary,priority,confidence,access_link,xlsx_ref,id_type,identifier,cited_by,status,notes
A-05b-001,1,General · ANE · Other (기타),"Harvey, Julien",1962,"Le ‘Rîb-Pattern,’ réquisitoire sur la rupture de l'alliance",Biblica 43 (1962): 172–196,off-list,low,A,https://www.jstor.org/stable/i40098316,General · ANE · Other (기타)!R652,journal-ref,Biblica 43 (1962) 172-196,Sasson,QUEUED,"bib_sasson·MISSING_Sasson 원본 대조 일치(제목·연도). JSTOR로 Biblica 43(1962):172-196 확인. xlsx/원본은 성만 표기 → 1967 확장 단행본판 서평(SJT)에서 Julien Harvey, S.J. 확인해 이름 보강."
A-05b-002,1,General · ANE · Other (기타),"Harvey, Julien",1967,Le Plaidoyer prophétique contre Israël après la rupture de l'alliance: étude d'une formule littéraire de l'Ancien Testament,"(Bruxelles: Desclée de Brouwer; Montréal: Bellarmin, 1967), 186pp.",off-list,low,A,https://www.cambridge.org/core/journals/scottish-journal-of-theology/article/abs/le-plaidoyer-prophetique-contre-israel-apres-la-rupture-de-lalliance-etude-dune-formule-litteraire-de-lancien-testament-by-julien-harvey-s-j-desclee-de-brouwer-brussels-and-les-editions-bellarmin-montreal-1967-pp-186-frb-246-650/15BFA0A12591A3A102372265D16CCBB3,General · ANE · Other (기타)!R653,book,"Desclée de Brouwer/Bellarmin 1967, 186pp",Groß,QUEUED,MISSING_Groß 원본 대조 일치(원문 'Julitn'은 OCR오식 → Julien 정정). Scottish Journal of Theology 서평(1968)으로 실재·쪽수 확인. 001(Harvey 1962 Biblica 논문)의 확장 단행본판 — 별개 출간물이므로 병합하지 않음.
A-05b-003,1,General · ANE · Other (기타),"Hasel, Gerhard F.",1978,Semantic Values of Derivatives of the Hebrew Root šʾāʾar,"Andrews University Seminary Studies (외부 DB는 AUSS 11/2, 1973로 확인)",off-list,low,B,https://digitalcommons.andrews.edu/auss/vol11/iss2/2/,General · ANE · Other (기타)!R654,journal-ref,AUSS (연도 불일치 잔존),Sasson,QUEUED,bib_sasson·MISSING_Sasson 모두 1978로 표기. 외부 DB(Andrews Digital Commons)는 동일 제목 논문을 AUSS 11.2(1973)로만 확인 — 1차 소스·외부 DB 연도 불일치 잔존. ⚠수령 시 표지 연도 재확인 필요(1978년 별도 재수록판 존재 가능성).
A-05b-004,1,General · ANE · Other (기타),"Hawkins, J. David",1983,The Hittite Name of Til-Barsip: Evidence from a New Hieroglyphic Fragment from Tell Aḥmar,Anatolian Studies 33 (1983): 131–136,off-list,low,A,https://doi.org/10.2307/3642701,General · ANE · Other (기타)!R655,DOI,10.2307/3642701,Sasson,QUEUED,bib_sasson 원본 대조 일치. Cambridge Core로 저널·권·쪽 확인.
A-05b-005,1,General · ANE · Other (기타),"Hawkins, John David",2000,"Corpus of Hieroglyphic Luwian Inscriptions, I: Inscriptions of the Iron Age","(Berlin: De Gruyter, 2000)",off-list,low,A,https://www.worldcat.org/search?q=Hawkins+Corpus+Hieroglyphic+Luwian+Inscriptions+2000,General · ANE · Other (기타)!R656,book,De Gruyter 2000,Sasson,QUEUED,bib_sasson 원본 대조 일치(제목·연도 그대로).
A-05b-006,1,General · ANE · Other (기타),"Healey, John F.",1999,Dagon,"in Dictionary of Deities and Demons in the Bible (DDD), 2nd ed. (Leiden: Brill / Grand Rapids: Eerdmans, 1999), pp.216–219(추정)",off-list,low,B,https://www.worldcat.org/search?q=Dictionary+of+Deities+and+Demons+in+the+Bible+DDD+1999,General · ANE · Other (기타)!R657,book-chapter,DDD 2nd ed. 1999,Groß,QUEUED,"MISSING_Groß 원본 대조 일치. DDD 2판(Brill/Eerdmans 1999) 실재·Healey 기고 확인. 원문 쪽수 표기('2:16-21.9')는 OCR 손상 — 216-219로 잠정 해석, 수령 시 재확인 필요."
A-05b-007,1,General · ANE · Other (기타),"Heger, Paul",2014,"Women in the Bible, Qumran, and Early Rabbinic Literature: Their Status and Roles","(Leiden: Brill, 2014)",off-list,low,A,https://www.worldcat.org/search?q=Heger+Women+in+the+Bible+Qumran+Early+Rabbinic+Literature+2014,General · ANE · Other (기타)!R658,book,Brill 2014,Sasson,QUEUED,bib_sasson·MISSING_Sasson 원본 대조 일치(제목·연도 그대로).
A-05b-008,1,General · ANE · Other (기타),"Heintz, Jean-Georges",1969,Oracles prophétiques et «sguerre sainte» selon les archives royales de Mari et l'Ancien Testament,"in Congress Volume: Rome 1968 (VTSup 17; Leiden: Brill, 1969), pp.112–138",off-list,low,A,https://brill.com/view/book/edcoll/9789004275409/B9789004275409-s008.xml,General · ANE · Other (기타)!R659,book-chapter,VTSup 17 (1969) 112-138,Groß,QUEUED,MISSING_Groß 원본 대조 일치. Brill 공식 페이지로 VTSup17·쪽수 확인. 시리즈는 화이트리스트 VTSup(통독)이나 주제가 Mari-구약 '성전' 일반 비교이지 사사기 직접 관련 아님 → off-list 유지.
A-05b-009,1,General · ANE · Other (기타),"Held, Moshe",1962,The YQTL-QTL (QTL-YQTL) Sequence of Identical Verbs in Biblical Hebrew and in Ugaritic,"in Studies and Essays in Honor of Abraham A. Neuman, ed. M. Ben-Horin et al. (Leiden: Brill, 1962), pp.281–290",off-list,low,A,https://www.worldcat.org/search?q=Held+YQTL-QTL+Sequence+Identical+Verbs+Biblical+Hebrew+Ugaritic,General · ANE · Other (기타)!R660,book-chapter,"Neuman Festschrift 1962, pp.281-290",Smith,QUEUED,bib_smith·MISSING_Smith 원본 대조 일치(제목 그대로).
A-05b-010,1,General · ANE · Other (기타),"Held, Moshe",1969,Rhetorical Questions in Ugaritic and Biblical Hebrew,Eretz-Israel 9 (W. F. Albright Volume; 1969): 71–79,off-list,low,A,https://www.jstor.org/stable/i23616927,General · ANE · Other (기타)!R661,journal-ref,Eretz-Israel 9 (1969) 71-79,Smith,QUEUED,bib_smith·MISSING_Smith 원본 대조 일치. JSTOR로 Eretz-Israel 9(Albright Volume) 확인.
