id,source_track,category,author,year,title,journal_series,boundary,priority,confidence,access_link,xlsx_ref,id_type,identifier,cited_by,status,notes
A-11a-001,1,General · ANE · Other (기타),"Stamm, Johann Jakob",1980,Der Name Nabal,"in: E. Jenni und M. A. Klopfenstein (Hg.), Beiträge zur hebräischen und altorientalischen Namenkunde (OBO 30; Freiburg: Universitätsverlag / Göttingen: Vandenhoeck & Ruprecht, 1980), 205–213",통독,low,A,https://www.worldcat.org/search?q=Stamm+Beitr%C3%A4ge+zur+hebr%C3%A4ischen+und+altorientalischen+Namenkunde+OBO+30,General · ANE · Other (기타)!R1502,chapter,"OBO 30, 1980, 205-213",Sasson,QUEUED,"bib_sasson.md(L1363)·MISSING_Sasson(L1311) 원본 title 일치(편집자 Jenni/Klopfenstein은 xlsx title에 이미 명시). OpenLibrary로 Stamm 저서(OBO 30, 1980) 실재 확인."
A-11a-002,1,General · ANE · Other (기타),"Stanton, Elizabeth Cady",1898,The Woman's Bible: Comments on the Old and New Testaments (Part II),"New York: European Publishing Company, 1898",off-list,low,A,https://www.worldcat.org/search?q=Elizabeth+Cady+Stanton+The+Woman%27s+Bible+1898,General · ANE · Other (기타)!R1503,book,"European Publishing Co., 1898",Groß,QUEUED,"MISSING_Groß(L903) 원본 title 일치('u. a.'=et al., 위원회 공저 표시). OpenLibrary로 The Woman's Bible(Part I 1895/Part II 1898) 실재 확인."
A-11a-003,1,General · ANE · Other (기타),"Staubli, Thomas",1991,Das Image der Nomaden im Alten Israel und in der Ikonographie seiner sesshaften Nachbarn,"OBO 107; Freiburg: Universitätsverlag / Göttingen: Vandenhoeck & Ruprecht, 1991",통독,low,A,https://www.academia.edu/9575354/,General · ANE · Other (기타)!R1504,book,"OBO 107, 1991",Sasson,QUEUED,bib_sasson.md(L1365)·MISSING_Sasson(L1313) 원본 일치. academia.edu·Tübingen 리포지토리로 원제(OCR 'sesshafien'→'sesshaften' 정정) 확인.
A-11a-004,1,General · ANE · Other (기타),"Steiner, Richard C.",1999,Incomplete Circumcision in Egypt and Edom: Jeremiah (9:24–25) in the Light of Josephus and Jonckheere,Journal of Biblical Literature 118/3 (Autumn 1999): 497–505,통독,low,A,https://scholarlypublishingcollective.org/sblpress/jbl/article/118/3/497/181870/,General · ANE · Other (기타)!R1505,article,"JBL 118/3, 1999, 497-505",Sasson,QUEUED,"SBL Press(scholarlypublishingcollective, 1차 저널 페이지)로 저자·저널·권·쪽수 확인."
A-11a-005,1,General · ANE · Other (기타),"Steiner, Richard C.",2000,"Does the Biblical Hebrew Conjunction -ו Have Many Meanings, One Meaning, or No Meaning at All?",Journal of Biblical Literature 119/2 (2000): 249–267,통독,low,A,https://doi.org/10.2307/3268486,General · ANE · Other (기타)!R1506,article,"JBL 119/2, 2000, 249",Smith,QUEUED,bib_smith.md(L748) title 일치. CrossRef DOI(10.2307/3268486)로 JBL 119 확인.
A-11a-006,1,General · ANE · Other (기타),"Steinmann, Jean",1961,Les Juges,"Connaître la Bible; Paris, 1961",off-list,low,B,https://www.worldcat.org/search?q=Steinmann+Jean+Les+Juges+Connaitre+la+Bible,General · ANE · Other (기타)!R1507,book,"ConBib, Paris, 1961",Groß,QUEUED,"MISSING_Groß(L905) 원본 표제어 연도는 'Steinmann 1994'이나 인용문 자체 텍스트는 'Paris 1961'로 명시 — 정렬 밀림으로 판단해 본문 연도(1961)를 채택. CrossRef로 Steinmann이 동 시리즈(Connaître la Bible)의 다른 권(Code Sacerdotal I, 1963)을 쓴 저자임을 확인해 시리즈 실재성 방증. 원본 문장 말미 'Stomiolo, lvo,'는 다음 항목의 잔여 단편(본 청크 범위 밖)으로 판단해 제외."
A-11a-007,1,General · ANE · Other (기타),"Steuernagel, Carl",1923,Das Deuteronomium,"Handkommentar zum Alten Testament I/3,1 (hg. W. Nowack); Göttingen: Vandenhoeck & Ruprecht, 2. Aufl. 1923",off-list,low,B,https://www.worldcat.org/search?q=Steuernagel+Das+Deuteronomium+Handkommentar+1923,General · ANE · Other (기타)!R1508,book,"HK I/3,1, 2. Aufl. 1923",Groß,QUEUED,"MISSING_Groß(L906) title 일치. HK 시리즈(Nowack 총괄편집) 실재는 OpenLibrary로 방증 확인, Steuernagel 개별판 정보는 배경지식 보완(B등급)."
A-11a-008,1,General · ANE · Other (기타),"Stevenson, Jeffrey S.",2002,"Judah's Successes and Failures in Holy War: An Exegesis o[...] (원본 절단, 제목 미완)","[dissertation, 소속기관 미상]",off-list,low,C,https://www.worldcat.org/search?q=Stevenson+Judah%27s+Successes+and+Failures+in+Holy+War+dissertation,General · ANE · Other (기타)!R1509,dissertation,"diss., 2002",Groß,QUEUED,MISSING_Groß(L907) 원본도 동일 지점에서 절단됨('Exegesis o'에서 끊김). OpenLibrary·CrossRef로 소속기관·완전한 제목 확인 실패. C등급.
A-11a-009,1,General · ANE · Other (기타),"Stieglitz, Robert R.",1991,The City of Amurru,Journal of Near Eastern Studies 50 (1991): 45–48,표적,low,A,https://www.worldcat.org/search?q=Stieglitz+The+City+of+Amurru+JNES+50+1991,General · ANE · Other (기타)!R1510,article,"JNES 50, 1991, 45-48",Sasson,QUEUED,bib_sasson.md(L1377)·MISSING_Sasson(L1319) 원본 title·저널·쪽수 완전 일치.
A-11a-010,1,General · ANE · Other (기타),"Still, Judith",1989,Rousseau's Lévite d'Éphraïm: The Imposition of Meaning (on Women),French Studies 43 (1989): 12–30,off-list,low,A,https://doi.org/10.1093/fs/xliii.1.12,General · ANE · Other (기타)!R1511,article,"French Studies 43, 1989, 12-30",Sasson,QUEUED,CrossRef DOI로 저자(Judith Still)·저널·권·쪽수 확인. bib_sasson.md(L1378)·MISSING_Sasson(L1320) title 일치. xlsx는 author='Still'만 표기(이름 없음) → 'Judith' 보완.
A-11a-011,1,General · ANE · Other (기타),"Stipp, Hermann-Josef",1987,Elischa – Propheten – Gottesmänner: Die Kompositionsgeschichte des Elischazyklus,"ATSAT 24; St. Ottilien: EOS Verlag, 1987",off-list,low,B,https://www.worldcat.org/search?q=Stipp+Elischa+Propheten+Gottesm%C3%A4nner+ATSAT,General · ANE · Other (기타)!R1512,book,"ATSAT 24, 1987",Groß,QUEUED,"MISSING_Groß(L908) title 일치. OpenLibrary로 저자·연도(1987) 확인, 부제(Elischazyklus)는 배경지식 보완."
A-11a-012,1,General · ANE · Other (기타),"Stipp, Hermann-Josef",1998,Deuterojeremianische Konkordanz,"ATSAT 63; St. Ottilien: EOS Verlag, 1998",off-list,low,A,https://www.worldcat.org/search?q=Stipp+Deuterojeremianische+Konkordanz+ATSAT+63,General · ANE · Other (기타)!R1513,book,"ATSAT 63, 1998",Groß,QUEUED,MISSING_Groß(L910) title 완전 일치.
A-11a-013,1,General · ANE · Other (기타),"Stipp, Hermann-Josef",2003,"[제목 앞부분 소실, '…ihrer Botschaft'에서 시작하는 원본 단편만 확보]","in: Festschrift für R. Mosis, Würzburg 2003, 323–354",off-list,low,C,https://www.worldcat.org/search?q=Stipp+Festschrift+Mosis+2003,General · ANE · Other (기타)!R1514,chapter,"FS Mosis, 2003, 323-354",Groß,QUEUED,MISSING_Groß(L911) 원본 자체가 이미 절단된 문장에서 시작('ihrer Botschaft'). 완전한 제목·FS 서명을 OpenLibrary·CrossRef로 확인 실패. 저자(Stipp)·FS·연도·쪽수만 확보 — C등급.
A-11a-014,1,General · ANE · Other (기타),"Stipp, Hermann-Josef",2006,"[…Ufer des Meeres, 원본 절단으로 전체 제목 미상]","in: Festschrift für Georg Hentschel (Erfurter Theologische Studien 90), Würzburg 2006, ca. 127ff.",off-list,low,C,https://www.worldcat.org/search?q=Stipp+Ufer+des+Meeres+Hentschel+Festschrift+2006,General · ANE · Other (기타)!R1515,chapter,"EThSt 90, 2006, 127-",Groß,QUEUED,"MISSING_Groß(L912) 원본 자체가 절단됨('Ufer des Meeres'로 시작하는 부분만 확보, 쪽수도 '1271'로 뭉개져 127 이하로만 추정). 외부 DB 확인 실패 — C등급."
A-11a-015,1,General · ANE · Other (기타),"Stoebe, Hans Joachim",1965,Zur Topographie und Überlieferung der Schlacht von Mikmas,Theologische Zeitschrift 21 (1965): 269–280,off-list,low,B,https://www.worldcat.org/search?q=Stoebe+Topographie+%C3%9Cberlieferung+Schlacht+von+Mikmas+ThZ,General · ANE · Other (기타)!R1516,article,"ThZ 21, 1965, 269-280",Groß,QUEUED,"MISSING_Groß(L913) title 일치(OCR 'Oberlieferung'→'Überlieferung' 정정). 2차 요약으로 ThZ 21(1965) 269-280 확인, 1차 미열람."
