id,source_track,category,author,year,title,journal_series,boundary,priority,confidence,access_link,xlsx_ref,id_type,identifier,cited_by,status,notes
B-03a-001,1,Book · Composition · Framework,"O'Brien, Mark A.",1994,Judges and the Deuteronomistic History,"in: S.L. McKenzie/M.P. Graham (eds.), The History of Israel's Traditions: The Heritage of Martin Noth, JSOTSup 182 (Sheffield: Sheffield Academic Press)",통독,high,A,https://scholar.google.com/scholar?q=O%27Brien+Judges+and+the+Deuteronomistic+History+McKenzie+Graham+1994,Book · Composition · Framework!R222,book-chapter,JSOTSup 182 (1994) 235-259,Smith,QUEUED,"bib_smith 원본 제목·저자·연도 일치(""O'Brien 1994 — Judges and the Deuteronomistic History""). 웹으로 FS Noth(McKenzie/Graham 편, JSOTSup 182) 235-259 확인."
B-03a-002,1,Book · Composition · Framework,"O'Brien, Mark A.",1989,The Deuteronomistic History Hypothesis: A Reassessment,Orbis Biblicus et Orientalis (OBO 92; Freiburg: Universitätsverlag / Göttingen: Vandenhoeck & Ruprecht),통독,high,A,https://www.worldcat.org/isbn/9783727806476,Book · Composition · Framework!R223+R233,ISBN,"ISBN 3-7278-0647-8 (OBO 92, 1989)",Sasson+Groß,QUEUED,"★중복병합+연도정정: Groß행(원행223, 저자'O'Brim'/연도'1984'=OCR깨짐)과 Sasson행(원행233, 'O'Brien'/1989)이 동일 저서. 정확 연도=1989(OBO92, Freiburg/Göttingen) 다수 서지DB로 확인, 통합."
B-03a-003,1,Book · Composition · Framework,"O'Connell, Robert H.",1996,The Rhetoric of the Book of Judges,Supplements to Vetus Testamentum (VTSup 63; Leiden: E.J. Brill),통독,high,A,https://search.worldcat.org/search?q=O%27Connell+Rhetoric+of+the+Book+of+Judges,Book · Composition · Framework!R224+R234,journal-ref,VTSup 63 (1996),Sasson+Smith,HELD_ALREADY,"★중복병합: xlsx 원행 2건(Sasson행224, Smith행234)이 동일 저서(VTSup 63, Brill 1996). [확보완료: 0 Judges general/OConnell 1996 Rhetoric of Book of Judges.pdf]"
B-03a-004,1,Book · Composition · Framework,"O'Connor, Michael",1990,Judges,"in: R.E. Brown/J.A. Fitzmyer/R.E. Murphy (eds.), The New Jerome Biblical Commentary (Englewood Cliffs, NJ: Prentice-Hall)",off-list,low,B,https://scholar.google.com/scholar?q=O%27Connor+Judges+New+Jerome+Biblical+Commentary+1990,Book · Composition · Framework!R225+R226,book-chapter,NJBC (1990),Smith+Groß,QUEUED,"★중복병합+연도정정: Groß행(원행225, 연도'1929'=OCR깨짐 오기)과 Smith행(원행226, '1990')이 동일 챕터(New Jerome Biblical Commentary). 정확 연도=1990 확인."
B-03a-005,1,Book · Composition · Framework,"Oded, Bustenay",1996,Cushan-Rishathaim (Judges 3:8-11): An Implicit Polemic,"in: M.V. Fox et al. (eds.), Texts, Temples, and Traditions: A Tribute to Menahem Haran (Winona Lake, IN: Eisenbrauns)",off-list,low,A,https://scholar.google.com/scholar?q=Oded+Cushan-Rishathaim+Judges+3+Implicit+Polemic+1996,Book · Composition · Framework!R227,book-chapter,FS Haran (1996) 89-94,Sasson,QUEUED,bib_sasson 원본 제목·저자·연도 정확 일치. 웹으로 FS Menahem Haran(Eisenbrauns 1996) 89-94 확인.
B-03a-006,1,Book · Composition · Framework,"Ogden, Graham S.",1994,"Poetry, Prose, and Their Relationship: Some Reflections Based on Judges 4 and 5","in: E.R. Wendland (ed.), Discourse Perspectives on Hebrew Poetry in the Scriptures, UBS Monograph Series 7 (New York: United Bible Societies)",off-list,low,A,https://scholar.google.com/scholar?q=Ogden+Poetry+Prose+Relationship+Judges+4+5+1994+Wendland,Book · Composition · Framework!R228,book-chapter,UBS Monograph Series 7 (1994) 111-130,Sasson,QUEUED,"bib_sasson 원본에 저자 풀네임(Graham S. Ogden)·제목 일치. 웹으로 Wendland 편 UBS Monograph 7, 111-130 확인."
B-03a-007,1,Book · Composition · Framework,"Okyere, K.",2012,Culture of Politico-Religious Intrigues (Judges 9:1-21): Implications for Africa,Ogbomoso Journal of Theology,off-list,low,B,https://scholar.google.com/scholar?q=Okyere+Culture+of+Politico-Religious+Intrigues+Judges+9+2012+Ogbomoso,Book · Composition · Framework!R229,journal-ref,Ogbomoso J. Theol. 17/3 (2012) 57-75,Smith,QUEUED,"bib_smith 원본 제목 일치. 웹으로 게재지(Ogbomoso Journal of Theology 17.3, 57-75) 확인(간접 근거, 1차 열람 안 됨)."
B-03a-008,1,Book · Composition · Framework,"Olson, Dennis T.",1998,The Book of Judges,"The New Interpreter's Bible, vol. 2 (Nashville: Abingdon Press)",off-list,low,A,https://scholar.google.com/scholar?q=Olson+Judges+New+Interpreter%27s+Bible+1998,Book · Composition · Framework!R230,book-chapter,NIB vol.2 (1998),Sasson+Smith,HELD_ALREADY,★연도정정: xlsx 원행 연도'1994'→ 실제 NIB vol.2 출판연도 1998(bib_sasson 'Olson 1998'과 일치). [확보완료: 0 Judges Commentaries/Olson 1998 Judges_ NIB.pdf]
B-03a-009,1,Book · Composition · Framework,"Olson, Dennis T.",2004,"Buber, Kingship, and the Book of Judges: A Study of Judges 6-9 and 17-21","in: B.F. Batto/K.L. Roberts (eds.), David and Zion: Biblical Studies in Honor of J.J.M. Roberts (Winona Lake, IN: Eisenbrauns)",off-list,low,A,https://www.degruyter.com/document/doi/10.1515/9781575065519-013/html,Book · Composition · Framework!R231,book-chapter,FS Roberts (2004) 199-218,Smith,QUEUED,bib_smith 원본 제목 일치. 웹(De Gruyter)으로 FS J.J.M. Roberts(Eisenbrauns 2004) 199-218 확인.
B-03a-010,1,Book · Composition · Framework,"Orlinsky, Harry M.",1940,"The Import of the Kethib-Kere and the Masoretic Note on Lekah, Judges 19:13","in: B. Schindler/A. Marmorstein (eds.), Gaster Anniversary Volume: Occident and Orient (Philadelphia: Dropsie College)",off-list,low,A,https://scholar.google.com/scholar?q=Orlinsky+Import+of+Kethib-Kere+Masoretic+Note+Lekah+Judges+19.13+1940+Gaster,Book · Composition · Framework!R232,book-chapter,Gaster Anniv. Vol. (1940),Sasson,QUEUED,"bib_sasson 원본 제목 일치. 웹으로 Gaster Anniversary Volume(Dropsie College, 1940) 확인."
