id,source_track,category,author,year,title,journal_series,boundary,priority,confidence,access_link,xlsx_ref,id_type,identifier,cited_by,status,notes
C-01a-001,1,Samson (13-16),"Alter, Robert",1990,Samson without Folklore,"in: S. Niditch (ed.), Text and Tradition: The Hebrew Bible and Folklore (Semeia Studies; Atlanta: Scholars Press, 1990)",off-list,low,A,https://www.worldcat.org/isbn/1555404405,Samson (13-16)!R2,book-chapter,pp.47-56,Groß,HELD_ALREADY,"★연도정정: xlsx 1998(OCR)→1990. bib_sasson·Groß 대조+웹(academia.edu Bynum 인용)+원본폴더 PDF(목차 pp.47-56 확인)로 확정. [확보완료: 2 Samson/Alter 1990 Samson without Folklore.pdf; 2 Samson/Niditch 1990 Text and Tradition Hebrew Bible Folklore.pdf(전체 수록서, 목차에서 p.47 Alter/p.57 Bynum/p.127 Camp&Fontaine 확인)]"
C-01a-002,1,Samson (13-16),"Amit, Yairah",1993,‘Manoah Promptly Followed His Wife’ (Judges 13:11): On the Place of the Woman in Birth Narratives,"in: A Feminist Companion to Judges (ed. Athalya Brenner; Sheffield: Sheffield Academic Press, 1993)",off-list,low,A,https://docslib.org/doc/6743009/manoah-promptly-followed-his-wife-judges-13-11-on,Samson (13-16)!R3,book-chapter,pp.147-,Sasson,QUEUED,"bib_sasson 원본 대조 일치. 웹(docslib 스캔본)으로 서명·연도·시작쪽수(147) 확인, 종료쪽수 미확인."
C-01a-003,1,Samson (13-16),"Amit, Yairah",2002,"I, Delilah: A Victim of Interpretation","in: First Person: Essays in Biblical Autobiography (ed. Philip R. Davies; Sheffield: Sheffield Academic Press/Biblical Seminar, 2002)",off-list,low,A,https://www.worldcat.org/isbn/9781841272450,Samson (13-16)!R4,book-chapter,pp.59-76,Sasson,QUEUED,"bib_sasson 원본 대조 일치. 웹으로 수록서(First Person, ed. Philip R. Davies, 2002) 확인 — xlsx의 'Philip R. Davies, ed.' 단서와 일치."
C-01a-004,1,Samson (13-16),"Bader, Winfried",1991,Simson bei Delila: Computerlinguistische Interpretation des Textes Ri 13–16,"(Theologische Hochschule Tübingen, Diss.; THLI 3)",off-list,low,B,https://www.buchfreund.de/de/d/p/91461753/simson-bei-delila-computerlinguistische,Samson (13-16)!R5,thesis,"Tübingen (THLI 3), 1991",Groß,QUEUED,"★저자정정: xlsx 'Bach'(OCR로 인접행 'Bach, Robert, Amalek: BHH I'와 병합)→실제 Bader, Winfried. 고서점 서지(buchfreund.de)로 제목·연도(1991, xlsx 연도와 일치) 확인, 1차 열람 아님."
C-01a-005,1,Samson (13-16),"van der Toorn, Karel",2022,Northern Prophets and Nazirites,"in: Now These Records Are Ancient: Studies in Ancient Near Eastern and Biblical History, Language and Culture in Honor of K. Lawson Younger, Jr. (eds. J.K. Hoffmeier, R.E. Averbeck, J.C. Howard, W. Zwickel; ÄAT 114; Münster: Zaphon, 2022)",off-list,low,B,https://www.zaphon.de/now-these-records-are-ancient/en,Samson (13-16)!R6,book-chapter,pp.473-477,Sasson,QUEUED,"★저자정정: xlsx 'Bachmann'→실제 van der Toorn, Karel(웹 확인). 같은 FS Younger(Hoffmeier 외 편, ÄAT 114) 수록. 동일 현상: 본 청크 R19/R20('Chambon'→실제 Sasson 자기인용)와 같은 유형의 저자귀속 오류."
C-01a-006,1,Samson (13-16),"Bauer, Hans",1912,Zu Samsons Rätsel in Richter Kapitel 14,Zeitschrift der Deutschen Morgenländischen Gesellschaft (ZDMG),off-list,low,A,https://scholar.google.com/scholar?q=Bauer+Zu+Samsons+Ratsel+Richter+Kapitel+14+ZDMG+1912,Samson (13-16)!R7,journal-ref,ZDMG 66 (1912) 473-474,Sasson,QUEUED,"xlsx 잘린 제목·게재지('Zeitschrift der Deutschen...')을 웹으로 완전 복원(ZDMG 66권, 473-74쪽)."
C-01a-007,1,Samson (13-16),"Begg, Christopher T.",2006,"The End of Samson According to Josephus as Compared with the Bible, Pseudo-Philo and Rabbinic Tradition",Biblische Notizen (BN),통독,high,B,https://scholar.google.com/scholar?q=Begg+End+of+Samson+According+to+Josephus+Biblische+Notizen+2006,Samson (13-16)!R8,journal-ref,BN 131 (2006) 47-61,Sasson,QUEUED,웹 검색 스니펫으로 게재지·권호 확인(1차 열람 아님).
C-01a-008,1,Samson (13-16),"Begg, Christopher T.",2007,Samson's Initial Exploits According to Josephus,Liber Annuus,off-list,low,A,https://scholar.google.com/scholar?q=Begg+Samson%27s+Initial+Exploits+According+to+Josephus+Liber+Annuus+2007,Samson (13-16)!R9,journal-ref,Liber Annuus 57 (2007) 317-341,Sasson,QUEUED,xlsx 원행에 이미 완전서지.
C-01a-009,1,Samson (13-16),"Ben-Zion, Ilan",2022,The Philistine Age,Archaeology (magazine),off-list,low,A,https://archaeology.org/issues/july-august-2022/features/levant-philistine-origins/,Samson (13-16)!R10,web,"Archaeology (AIA), July/August 2022 issue",Sasson,QUEUED,★저자 성명 확인: Ilan Ben-Zion(기자). 대중 고고학 잡지 기사(비평점검 저널 아님).
C-01a-010,1,Samson (13-16),"Blyth, Caroline; Wijaya Mulya, Teguh",2015,The Delilah Monologues,"in: Sexuality, Ideology and the Bible: Antipodean Engagements (eds. Robert J. Myles & Caroline Blyth; Sheffield: Sheffield Phoenix Press, 2015)",off-list,low,A,https://aucklandtheology.wordpress.com/2015/06/04/seminar-the-delilah-monologues/,Samson (13-16)!R11,book-chapter,pp.144-162,Sasson,QUEUED,"★공저자 정정: xlsx 'Blyth' 단독→실제 공저 Blyth & Wijaya Mulya(bib_sasson 'Blyth and Mulya'와 일치, 웹 확인)."
C-01a-011,1,Samson (13-16),"Blyth, Caroline",2017,Reimagining Delilah's Afterlives as Femme Fatale: The Lost Seduction,Library of Hebrew Bible/Old Testament Studies (LHBOTS 652; London: T&T Clark/Bloomsbury),통독,high,A,https://www.amazon.com/Reimagining-Delilahs-Afterlives-Femme-Fatale/dp/056767312X,Samson (13-16)!R12,ISBN,ISBN 978-0-567-67312-1,Sasson,QUEUED,LHBOTS(구 JSOTSup) 시리즈=통독. bib_sasson 원본 대조 일치.
C-01a-012,1,Samson (13-16),"Blyth, Caroline",2020,Queering Delilah with Critical Theory and Gendered Bible Hermeneutics,"in: The Oxford Handbook of Feminist Approaches to the Hebrew Bible (ed. Susanne Scholz; Oxford: Oxford University Press, 2020)",off-list,low,A,https://academic.oup.com/edited-volume/34271/chapter/290581127,Samson (13-16)!R13,book-chapter,,Sasson,QUEUED,Oxford Academic으로 수록서·편자 확인.
C-01a-014,1,Samson (13-16),"Brettler, Marc Zvi",2017,Who Was Samson's Real Father?,TheTorah.com (온라인 에세이),off-list,low,B,https://www.thetorah.com/article/who-was-samsons-real-father,Samson (13-16)!R15,web,thetorah.com/article/who-was-samsons-real-father,Sasson,QUEUED,★저자 풀네임 확인: Marc Zvi Brettler. 대중학술 웹사이트(비평점검 저널 아님).
C-01a-015,1,Samson (13-16),"Broida, Marian",2011,Closure in Samson,Journal of Hebrew Scriptures (JHS),통독,high,B,https://jhsonline.org/index.php/jhs/issue/view/593,Samson (13-16)!R16,journal-ref,JHS 10 (2010/2011),Sasson,QUEUED,"★저자 풀네임 확인: Marian Broida. 온라인 저널 특성상 온라인게재(2010)와 인쇄수록집(Perspectives on Hebrew Scriptures VII, 2011) 연도가 혼재 — 정확 article-no.·쪽수 미확인."
C-01a-016,1,Samson (13-16),"Bynum, David E.",2000,Samson as a Biblical φήρ ὀρεσκῷος,"in: S. Niditch (ed.), Text and Tradition: The Hebrew Bible and Folklore (Semeia Studies; Atlanta: Scholars Press, 1990)",off-list,low,A,https://www.worldcat.org/isbn/1555404405,Samson (13-16)!R17,book-chapter,pp.57-73,Groß,HELD_ALREADY,"★연도정정: xlsx 2000→실제 1990(같은 Niditch 편 논문집, Alter 항목과 동일 수록서). 원본폴더 PDF 목차 직접확인(p.57 시작). [확보완료: 2 Samson/Niditch 1990 Text and Tradition Hebrew Bible Folklore.pdf]"
C-01a-017,1,Samson (13-16),"Camp, Claudia V.; Fontaine, Carole R.",1990,The Words of the Wise and Their Riddles,"in: S. Niditch (ed.), Text and Tradition: The Hebrew Bible and Folklore (Semeia Studies; Atlanta: Scholars Press, 1990)",off-list,low,A,https://www.worldcat.org/isbn/1555404405,Samson (13-16)!R18,book-chapter,pp.127-151,Sasson,HELD_ALREADY,★공저자 정정: xlsx 'Camp' 단독→실제 공저 Camp & Fontaine. xlsx의 편자 단서 'Bernard C.'는 오독(실제 편자는 Susan Niditch). 원본폴더 PDF 목차 직접확인(p.127). [확보완료: 2 Samson/Niditch 1990 Text and Tradition Hebrew Bible Folklore.pdf]
C-01a-018,1,Samson (13-16),"Sasson, Jack M.",2021,Samson as Riddle,"in: Ve-ʼEd Yaʻaleh (Gen 2:6): Essays in Biblical and Ancient Near Eastern Studies Presented to Edward L. Greenstein (eds. Peter Machinist, Robert A. Harris, Joshua A. Berman, Nili Samet, Noga Ayali-Darshan; Atlanta: SBL Press, 2021)",off-list,low,A,https://cdn.vanderbilt.edu/t2-my/my-prd/wp-content/uploads/sites/240/2022/01/Sasson-2021-Samson-as-riddle.pdf,Samson (13-16)!R19,book-chapter,pp.579-593,Sasson,QUEUED,"★저자정정(고위험): xlsx 'Chambon'→실제 저자는 Jack M. Sasson 본인(자기인용, FS Greenstein 수록). 저자 자신의 게시 PDF(vanderbilt.edu)로 직접 확인."
C-01a-019,1,Samson (13-16),"Sasson, Jack M.",2022,Sightless in Gaza: On the Fate of Samson,"in: Now These Records Are Ancient: Studies in Ancient Near Eastern and Biblical History, Language and Culture in Honor of K. Lawson Younger, Jr. (eds. J.K. Hoffmeier, R.E. Averbeck, J.C. Howard, W. Zwickel; ÄAT 114; Münster: Zaphon, 2022)",off-list,low,A,https://cdn.vanderbilt.edu/t2-my/my-prd/wp-content/uploads/sites/240/2022/11/Sasson-2022-Sightless-in-Gaza.pdf,Samson (13-16)!R20,book-chapter,pp.443-451,Sasson,QUEUED,"★저자정정(고위험): xlsx 'Chambon'→실제 저자는 Jack M. Sasson 본인(자기인용, FS Younger 수록, R6 van der Toorn과 같은 책). 저자 자신의 게시 PDF로 직접 확인."
C-01a-020,1,Samson (13-16),"Chepey, Stuart",2005,"Nazirites in Late Second Temple Judaism: A Survey of Ancient Jewish Writings, the New Testament, Archaeological Evidence, and Other Writings from Late Antiquity",(AGJU 60; Leiden: Brill),off-list,low,A,https://brill.com/display/title/12490,Samson (13-16)!R21,book,"AGJU 60, Brill 2005",Sasson,QUEUED,bib_sasson 원본 대조 일치. Brill 출판사 페이지로 완전서지 확인.
C-01a-021,1,Samson (13-16),"Civil, Miguel",1987,Sumerian Riddles: A Corpus,Aula Orientalis,off-list,low,A,https://scholar.google.com/scholar?q=Civil+Sumerian+Riddles+A+Corpus+Aula+Orientalis+1987,Samson (13-16)!R22,journal-ref,Aula Orientalis 5 (1987) 17-37,Sasson,QUEUED,xlsx 원행에 이미 완전서지.
C-01a-022,1,Samson (13-16),"Crenshaw, James L.",1974,The Samson Saga: Filial Devotion or Erotic Attachment?,Zeitschrift für die alttestamentliche Wissenschaft (ZAW),통독,high,A,https://doi.org/10.1515/zatw.1974.86.4.470,Samson (13-16)!R23,DOI,10.1515/zatw.1974.86.4.470,Sasson+Groß,QUEUED,DOI로 직접 확인: ZAW 86(4) (1974) 470-504. xlsx 'ZAW 8'(잘림)→ZAW 86 복원. 2개 주석서(Sasson+Groß) 공동인용.
