id,category,author,year,title_raw,title,journal_series,volume,pages,cite_Sasson,cite_Smith,cite_Gross,boundary,id_type,identifier,confidence,status,notes
F-01-001,Jephthah (10:6-12:7),"Aufrecht, Walter E.",1989,"A Corpus ofAmmonite Inscriptions. Ancient Near Eastern Texts and Studies,",A Corpus of Ammonite Inscriptions,Ancient Near Eastern Texts and Studies (ANETS),4,,X,,,off-list,book,"ANETS 4, Lewiston: Edwin Mellen Press, 1989",B,RESOLVED,bib_sasson 원본 저자·연도·제목 일치 확인. 서지(출판사) 미검증 부분 있어 B.
F-01-002,Jephthah (10:6-12:7),"Böhler, Dieter",2008,"- Jiftach und die Tora. Eine intertextuelle Auslegung von Ri 10, 6-12, 7 (ÖBS 34","Jiftach und die Tora: Eine intertextuelle Auslegung von Ri 10,6-12,7",Österreichische Biblische Studien (ÖBS),34,,,,X,off-list,book,"ÖBS 34, Frankfurt a.M.: Peter Lang, 2008 (ISBN 978-3-631-57780-6)",A,RESOLVED,"저자정정: xlsx/Groß원본 'Boecktr'(OCR깨짐)→Böhler, Dieter. 근거: WebSearch(Peter Lang/Amazon.de/Sankt Georgen 교수페이지 확인)."
F-01-003,Jephthah (10:6-12:7),"Day, Peggy L.",1989,“From the Child Is Born the Woman: The Story of Jephthah’s Daughter.”,From the Child Is Born the Woman: The Story of Jephthah's Daughter,"in: Peggy L. Day (ed.), Gender and Difference in Ancient Israel",,,X,,,off-list,book-chapter,"Minneapolis: Fortress Press, 1989",B,RESOLVED,bib_sasson 원본 저자·제목 일치. 쪽수 미확인.
F-01-004,Jephthah (10:6-12:7),"Dion, Paul-Eugène",2003,"Dion, Paul-Eugene,The Ammonites. A Historical Sketch, in: P. M. Daviau (Hg.), Ex",The Ammonites: A Historical Sketch,"in: P.M.M. Daviau/R.W. Younker (eds.), Excavations at Tall Jawa, Jordan",,,,,X,off-list,book-chapter,"Leiden: Brill, 2003 (Brill downloadpdf 확인)",B,RESOLVED,WebSearch로 저자·제목·출판사 확인. 정확한 권호(Vol.1 vs 11/1 혼재 검색결과) 미확정 — 수령시 확인 필요.
F-01-005,Jephthah (10:6-12:7),"Groß, Walter",2004,"- Jiftachs Tochtei; in: F.-L. Hossfeld (Hg.), Das Manna fällt auch heute noch. B",Jiftachs Tochter,"Herders Biblische Studien (HBS), in: F.-L. Hossfeld/L. Schwienhorst-Schönberger (Hg.), Das Manna fällt auch heute noch (FS Zenger)",44,273-293,,,X,통독,book-chapter,"HBS 44, Freiburg: Herder, 2004, 273-293",A,RESOLVED,"저자정정: xlsx/Groß원본 'Dtn'(정렬밀림/OCR)→Groß, Walter 본인 논문(HThKAT 저자 자기인용). 근거: WebSearch."
F-01-006,Jephthah (10:6-12:7),"Groß, Walter",2007,- Jiftachs Rolle in der Erzählung von seinem Gelübde. Elemente der Rezeptions- u,Jiftachs Rolle in der Erzählung von seinem Gelübde: Elemente der Rezeptions- und Auslegungsgeschichte,"Alter Orient und Altes Testament (AOAT), in: J. Luchsinger/H.-P. Mathys/M. Saur (Hg.), ""...der seine Lust hat am Wort des Herrn!"" (FS Ernst Jenni)",336,60-92,,,X,표적,book-chapter,"AOAT 336, Münster: Ugarit-Verlag, 2007, 60-92",A,RESOLVED,"저자정정: xlsx/Groß원본 'Dtn'→Groß, Walter 본인 논문. 근거: WebSearch."
F-01-007,Jephthah (10:6-12:7),"Exum, J. Cheryl",1989,"- The Tragic Vision and Biblical Narrative. The Case of Jephthah, in: Dies. (Hg.",The Tragic Vision and Biblical Narrative: The Case of Jephthah,"in: J. Cheryl Exum (ed.), Signs and Wonders: Biblical Texts in Literary Focus",,59-83,,,X,off-list,book-chapter,"Atlanta: Scholars Press, 1989, 59-83",A,RESOLVED,"저자정정: xlsx/Groß원본 'Ewald'(정렬밀림)→Exum, J. Cheryl. 근거: WebSearch(Cambridge Core 등 확인)."
F-01-008,Jephthah (10:6-12:7),"Feldman, Louis H.",1996,"- Josephus Portrait of Jephthah, in: 1. M. Gafni/A. Oppenheimer/D. R. Schwanz (H",Josephus' Portrait of Jephthah,"in: I.M. Gafni/A. Oppenheimer/D.R. Schwartz (eds.), The Jews in the Hellenistic-Roman World (FS Menahem Stern)",,,,,X,off-list,book-chapter,"Jerusalem: Zalman Shazar Center, 1996 (편자·서명 추정, WebSearch 직접확인 실패)",C,RESOLVED,bib(Groß) 원본상 편자명·서명이 잘려 저자 일반지식으로 복원. 직접 서지 미확인 — 수령시 원문 확인 필수.
F-01-009,Jephthah (10:6-12:7),"Fienberg, Nona",1991,"Fienberg, Nona, Jephthah's Daughter. The PartOpheliaPlays,in: R.-J.Frontain/J. W",Jephthah's Daughter: The Parts Ophelia Plays,"in: R.-J. Frontain/J. Wojcik (eds.), [FS/논총명 미상]",,128-143,,,X,off-list,book-chapter,"1991, 128-143",B,RESOLVED,제목 OCR정정('PartOpheliaPlays'→'Parts Ophelia Plays'). 편자명은 원본과 일치하나 총서/서명 truncation으로 미확정.
F-01-010,Jephthah (10:6-12:7),"Noth, Martin (추정)",1971,"- Gilead und Gad, in: H. W. Wolff (Hg.), Aufsätze zur biblischen Landeskunde. Bd",Gilead und Gad,"in: H.W. Wolff (Hg.), Martin Noth, Aufsätze zur biblischen Landes- und Altertumskunde",,,,,X,off-list,book-chapter,"Neukirchen-Vluyn: Neukirchener Verlag, 1971 (추정)",C,RESOLVED,"저자 'Freunden'은 원문 저자명이 아닌 OCR 오염으로 판단 — 같은 총서 내 인접 항목들이 모두 Noth 대표작(Das Buch Josua HAT1/7, ATD7 등)과 일치하여 Martin Noth로 추정. WebSearch로 완전확정 실패, 수령시 원문 대조 필수."
